KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
193847,Problemkarte,L-TopImg,Fachwerk Dreieck,Bestimme die Stabkräfte $S_{AB}$; $S_{BC}$ und $S_{AC}$ des dargestellten Dreieckfachwerks mit Einzellast $F$ in Feldmitte.,Gegeben: $F$; $L$; $h$,Gesucht: $S_{AB}$; $S_{BC}$; $S_{AC}$,Wahr,{},1,1,nan,"230,177,70",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_1/fachwerk1.jpg""}"
582193,Freischnittkarte,L-TopImg,Freischnitt Fachwerk,Freischnitt mit Stabkräften und Auflagerreaktionen,$F$ vertikal an C / $A_x$ am Gelenk A,nan,Wahr,"{""baustoffe"": 3}",1,1,nan,"220,168,65",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_1/Freischnitt_wahr-19.jpg""}"
347820,Freischnittkarte,L-TopImg,Freischnitt Fachwerk,Freischnitt mit Stabkräften und Auflagerreaktionen,$F$ horizontal an C / $B_x$ am Rollenlager B,nan,Falsch,"{""baustoffe"": 3}",1,1,nan,"220,168,65",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_1/Freischnitt_falsch1-20.jpg""}"
916054,Freischnittkarte,L-TopImg,Freischnitt Fachwerk,Freischnitt mit Stabkräften und Auflagerreaktionen,nan,nan,Falsch,"{""baustoffe"": 3}",1,1,nan,"220,168,65",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_1/Freischnitt_flasch2-18.jpg""}"
374910,Variabelkarte,L-TopImg,Auflagerkräfte Fachwerk,nan,Symmetrie des Fachwerks,nan,Wahr,"{""baustoffe"": 3}",1,1,Ay = By = F/2,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""A_y = B_y = \\frac{F}{2}""}"
528301,Variabelkarte,L-TopImg,Auflagerkräfte Fachwerk,nan,Symmetrie des Fachwerks,nan,Falsch,"{""baustoffe"": 3}",1,1,Ay = By = F,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""A_y = B_y = F""}"
681452,Variabelkarte,L-TopImg,Auflagerkräfte Fachwerk,nan,Gleichgewicht der Auflager,nan,Falsch,"{""baustoffe"": 3}",1,1,Ay = -F / By = F,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""A_y = -F,\\; B_y = F""}"
739264,Variabelkarte,L-TopImg,Auflagerkräfte Fachwerk,nan,Gleichgewicht der Auflager,nan,Falsch,"{""baustoffe"": 3}",1,1,Ay = 2F / By = -F,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""A_y = 2F,\\; B_y = -F""}"
415073,Variabelkarte,L-TopImg,Winkel alpha im Fachwerk,nan,Aus $h$ und halber Basis,nan,Wahr,"{""baustoffe"": 2}",1,1,sin(a) = 4/5 / cos(a) = 3/5,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""\\sin\\alpha = \\frac{4}{5},\\;\\cos\\alpha = \\frac{3}{5}""}"
863920,Variabelkarte,L-TopImg,Winkel alpha im Fachwerk,nan,Aus $h$ und halber Basis,nan,Falsch,"{""baustoffe"": 2}",1,1,sin(a) = 3/5 / cos(a) = 4/5,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""\\sin\\alpha = \\frac{3}{5},\\;\\cos\\alpha = \\frac{4}{5}""}"
247581,Variabelkarte,L-TopImg,Winkel alpha im Fachwerk,nan,Aus $h$ und halber Basis,nan,Falsch,"{""baustoffe"": 2}",1,1,sin(a) = 1/3 / cos(a) = 2/3,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""\\sin\\alpha = \\frac{1}{3},\\;\\cos\\alpha = \\frac{2}{3}""}"
596814,Variabelkarte,L-TopImg,Winkel alpha im Fachwerk,nan,Aus $h$ und halber Basis,nan,Falsch,"{""baustoffe"": 2}",1,1,sin(a) = 1/2 / cos(a) = -1/2,"215,165,60",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""\\sin\\alpha = \\frac{1}{2},\\;\\cos\\alpha = -\\frac{1}{2}""}"
183640,Rechenschrittkarte,L-TopImg,Gleichgewicht Knoten C,nan,Gleichgewicht in $z$-Richtung am Knoten C,nan,Wahr,"{""baustoffe"": 3}",1,1,2 S_AC sin(a) = F,"210,160,58",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""2\\,S_{AC}\\sin\\alpha = F""}"
724039,Rechenschrittkarte,L-TopImg,Gleichgewicht Knoten C,nan,Gleichgewicht in $z$-Richtung am Knoten C,nan,Falsch,"{""baustoffe"": 3}",1,1,2 S_AC cos(a) = F,"210,160,58",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""2\\,S_{AC}\\cos\\alpha = F""}"
356182,Rechenschrittkarte,L-TopImg,Gleichgewicht Knoten C,nan,Gleichgewicht in $z$-Richtung am Knoten C,nan,Falsch,"{""baustoffe"": 3}",1,1,2 S_BC sin(a) = F/2,"210,160,58",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""2\\,S_{BC}\\sin\\alpha = \\frac{F}{2}""}"
918274,Rechenschrittkarte,L-TopImg,Gleichgewicht Knoten C,nan,Gleichgewicht in $z$-Richtung am Knoten C,nan,Falsch,"{""baustoffe"": 3}",1,1,2 S_BC cos(a) = F/2,"210,160,58",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""2\\,S_{BC}\\cos\\alpha = \\frac{F}{2}""}"
465093,Rechenschrittkarte,L-TopImg,Stabkraft aus Gleichgewicht,nan,Beziehung zwischen $S_{AC}$ und $S_{AB}$,nan,Wahr,"{""baustoffe"": 2}",1,1,S_AC = S_AB cos(a),"210,160,58",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_{AC} = S_{AB}\\cos\\alpha""}"
837610,Rechenschrittkarte,L-TopImg,Stabkraft aus Gleichgewicht,nan,Beziehung zwischen $S_{AC}$ und $S_{AB}$,nan,Falsch,"{""baustoffe"": 2}",1,1,S_AC = S_AB sin(a),"210,160,58",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_{AC} = S_{AB}\\sin\\alpha""}"
294758,Rechenschrittkarte,L-TopImg,Stabkraft aus Gleichgewicht,nan,Beziehung zwischen $S_{AC}$ und $S_{AB}$,nan,Falsch,"{""baustoffe"": 2}",1,1,S_AC = S_BC sin(a),"210,160,58",Fachwerk_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_{AC} = S_{BC}\\sin\\alpha""}"
