KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
112301,Problemkarte,L-TopImg,Kräfte – Resultierende (Bsp. 2.3),Bestimme Betrag $R$ und Richtung $\alpha_R$ der Resultierenden von 4 Kräften mit gemeinsamem Angriffspunkt.,"Gegeben: $F_1=12\,\text{kN}$; $\alpha_1=45°$; $F_2=8\,\text{kN}$; $\alpha_2=100°$; $F_3=18\,\text{kN}$; $\alpha_3=205°$; $F_4=4\,\text{kN}$; $\alpha_4=270°$",Gesucht: $R$ (Betrag); $\alpha_R$ (Richtungswinkel von $+x$-Achse),Wahr,{},1,1,,"70,177,230",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""image"", ""path"": ""Inseln/Kräfte/Aufgabe_1/Problem.png""}"
112302,Variabelkarte,L-TopImg,Koordinatensystem und Methode,Komponentenverfahren: $x$-Achse horizontal; $y$-Achse vertikal,Winkel $\alpha_i$ von $+x$-Achse; gegen Uhrzeigersinn positiv,,Wahr,"{""baustoffe"": 1}",1,1,,"65,170,225",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""F_{ix}=F_i\\cos\\alpha_i,\\quad F_{iy}=F_i\\sin\\alpha_i""}"
112303,Variabelkarte,L-TopImg,Koordinatensystem und Methode,Komponentenverfahren: $x$-Achse vertikal; $y$-Achse horizontal,Winkel $\alpha_i$ von $+y$-Achse; mit Uhrzeigersinn positiv,,Falsch,"{""baustoffe"": 1}",1,1,,"65,170,225",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""F_{ix}=F_i\\sin\\alpha_i,\\quad F_{iy}=F_i\\cos\\alpha_i""}"
112311,Rechenschrittkarte,L-TopImg,Zerlegung F1 und F2,"$F_1$: $F_{1x}=12\cos 45°=+8{,}49\,\text{kN}$; $F_{1y}=12\sin 45°=+8{,}49\,\text{kN}$","$F_2$: $F_{2x}=8\cos 100°=-1{,}39\,\text{kN}$; $F_{2y}=8\sin 100°=+7{,}88\,\text{kN}$",,Wahr,"{""baustoffe"": 2}",1,1,Zerlegung F1/F2,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""F_{1x}=+8{,}49,\\;F_{1y}=+8{,}49,\\;F_{2x}=-1{,}39,\\;F_{2y}=+7{,}88""}"
112312,Rechenschrittkarte,L-TopImg,Zerlegung F1 und F2,"$F_1$: $F_{1x}=12\cos 45°=+8{,}49\,\text{kN}$; $F_{1y}=12\sin 45°=+8{,}49\,\text{kN}$","$F_2$: $F_{2x}=8\cos 80°=+1{,}39\,\text{kN}$; $F_{2y}=8\sin 80°=+7{,}88\,\text{kN}$",,Falsch,"{""baustoffe"": 2}",1,1,Zerlegung F1/F2,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""F_{2x}=8\\cos 80°=+1{,}39,\\;F_{2y}=8\\sin 80°=+7{,}88""}"
112313,Rechenschrittkarte,L-TopImg,Zerlegung F3 und F4,"$F_3$: $F_{3x}=18\cos 205°=-16{,}31\,\text{kN}$; $F_{3y}=18\sin 205°=-7{,}61\,\text{kN}$","$F_4$: $F_{4x}=4\cos 270°=0{,}00\,\text{kN}$; $F_{4y}=4\sin 270°=-4{,}00\,\text{kN}$",,Wahr,"{""baustoffe"": 3}",1,1,Zerlegung F3/F4,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""F_{3x}=-16{,}31,\\;F_{3y}=-7{,}61,\\;F_{4x}=0,\\;F_{4y}=-4{,}00""}"
112314,Rechenschrittkarte,L-TopImg,Zerlegung F3 und F4,"$F_3$: $F_{3x}=18\cos 25°=+16{,}31\,\text{kN}$; $F_{3y}=18\sin 25°=+7{,}61\,\text{kN}$","$F_4$: $F_{4x}=4\cos 270°=0{,}00\,\text{kN}$; $F_{4y}=4\sin 270°=-4{,}00\,\text{kN}$",,Falsch,"{""baustoffe"": 3}",1,1,Zerlegung F3/F4,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""F_{3x}=18\\cos 25°=+16{,}31""}"
112315,Rechenschrittkarte,L-TopImg,Zerlegung F3 und F4,"$F_3$: $F_{3x}=18\cos 205°=-16{,}31\,\text{kN}$; $F_{3y}=18\sin 205°=-7{,}61\,\text{kN}$","$F_4$: $F_{4x}=-4{,}00\,\text{kN}$; $F_{4y}=0{,}00\,\text{kN}$",,Falsch,"{""baustoffe"": 2}",1,1,Zerlegung F3/F4,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""F_{4x}=-4{,}00,\\;F_{4y}=0{,}00""}"
112321,Rechenschrittkarte,L-TopImg,Komponenten addieren,"Rx = Summe aller x-Komponenten = -9,21 kN","Ry = Summe aller y-Komponenten = +4,76 kN",,Wahr,"{""baustoffe"": 2}",1,1,Rx; Ry,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""R_x=-9{,}21\\,\\text{kN},\\quad R_y=+4{,}76\\,\\text{kN}""}"
112322,Rechenschrittkarte,L-TopImg,Komponenten addieren,"Rx = Summe aller x-Komponenten = +23,41 kN","Ry = Summe aller y-Komponenten = +19,98 kN",,Falsch,"{""baustoffe"": 2}",1,1,Rx; Ry,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""R_x=+23{,}41\\,\\text{kN}""}"
112323,Rechenschrittkarte,L-TopImg,Komponenten addieren,"Rx = Summe aller x-Komponenten = -6,43 kN","Ry = Summe aller y-Komponenten = +4,76 kN",,Falsch,"{""baustoffe"": 2}",1,1,Rx; Ry,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""R_x=-6{,}43\\,\\text{kN}""}"
112331,Rechenschrittkarte,L-TopImg,Betrag der Resultierenden,R = sqrt(Rx^2 + Ry^2),"R = sqrt((-9,21)^2 + (4,76)^2) ≈ 10,4 kN",,Wahr,"{""baustoffe"": 2}",1,1,R = sqrt(Rx^2+Ry^2),"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""R=\\sqrt{R_x^2+R_y^2}\\approx10{,}4\\,\\text{kN}""}"
112332,Rechenschrittkarte,L-TopImg,Betrag der Resultierenden,"R = Rx + Ry = -4,45 kN",,,Falsch,"{""baustoffe"": 2}",1,1,R,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""R=R_x+R_y=-4{,}45\\,\\text{kN}""}"
112341,Rechenschrittkarte,L-TopImg,Richtungswinkel der Resultierenden,tan(aR) = Ry/Rx; Rx < 0; Ry > 0 → 2. Quadrant,"aR = 180° + arctan(Ry/Rx) = 152,6°",,Wahr,"{""baustoffe"": 3}",1,1,arctan + Quadrantenkorrektur,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""\\alpha_R=180°+\\arctan\\!\\left(\\frac{R_y}{R_x}\\right)=152{,}6°""}"
112342,Rechenschrittkarte,L-TopImg,Richtungswinkel der Resultierenden,"tan(aR) = Ry/Rx = -0,517","arctan(-0,517) = -27,4° → aR = -27,4°",,Falsch,"{""baustoffe"": 3}",1,1,arctan,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""\\alpha_R=-27{,}4°""}"
112343,Rechenschrittkarte,L-TopImg,Richtungswinkel der Resultierenden,"tan(aR) = Ry/Rx = -0,517","Rx > 0; Ry < 0 → 4. Quadrant; aR = 360° + (-27,4°) = 332,6°",,Falsch,"{""baustoffe"": 3}",1,1,arctan,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""\\alpha_R=332{,}6°""}"
112351,Rechenschrittkarte,L-TopImg,Kräfteplan als Probe,Vektoren F1; F2; F3; F4 aneinanderreihen; R schliesst das Krafteck,"R liegt im 2. Quadranten; aR ≈ 152,6°",,Wahr,"{""baustoffe"": 2}",1,1,Krafteck,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""image"", ""path"": ""Inseln/Kräfte/Aufgabe_1/Krafteck Korrekt.png""}"
112352,Rechenschrittkarte,L-TopImg,Kräfteplan als Probe,Vektoren F1; F2; F3; F4 aneinanderreihen; R schliesst das Krafteck,R als erster Vektor eingezeichnet,,Falsch,"{""baustoffe"": 2}",1,1,Krafteck,"60,165,220",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""image"", ""path"": ""Inseln/Kräfte/Aufgabe_1/Krafteck Falsch.png""}"
112361,Ergebniskarte,L-TopImg,Resultierende – Ergebnis,,"$R_x = -9{,}21\,\text{kN}$; $R_y = +4{,}76\,\text{kN}$","Probe: $\cos(152{,}6°)<0$ ✓; $\sin(152{,}6°)>0$ ✓",Wahr,{},1,1,$R$; $\alpha_R$,"75,182,235",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""formula"", ""latex"": ""R\\approx10{,}4\\,\\text{kN},\\quad\\alpha_R\\approx152{,}6°""}"
112371,Lösungskarte,L-TopImg,Lösungsweg Kräfte 2.3,"Richtige Karten: 112302, 112311, 112313, 112321, 112331, 112341, 112351, 112361",Lösungsweg: KOS → Zerlegung F1/F2 → Zerlegung F3/F4 → Komponenten addieren → Betrag → Richtung (Quadrantenregel) → Kräfteplan → Ergebnis,,Wahr,{},0,1,,"70,177,230",Kraefte_1,Kraefte_1,kräfte_übersicht_neu.pdf,"{""type"": ""none""}"
