KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
384712,Problemkarte,L-TopImg,Lager – Auflagerkräfte,"Bestimme die Auflagerkräfte $A_y$, $A_x$ und $B$ eines gelenkig gelagerten Balkens mit Einzellast $F$.",Gegeben: $F$; Abstände $3a$ (Last) und $4a$ (Lager $B$),"Gesucht: $A_x$, $A_y$, $B$",Wahr,{},1,1,,"70,230,70",Lager_1,Lager_1,Lager.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_1/Problemkarte.png""}"
651094,Variabelkarte,L-TopImg,Freischnitt des Balkens,Freischnitt mit $A_y$ nach oben; $B$ nach oben; $F$ nach unten; $A_x$ nach rechts,Kräfte korrekt am Balken eingezeichnet,,Wahr,"{""baustoffe"": 2}",1,1,,"65,220,65",Lager_1,Lager_1,Lager.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_1/Freischnitt_richtig.png""}"
827340,Variabelkarte,L-TopImg,Freischnitt des Balkens,Freischnitt mit $A_y$ nach oben; $B$ nach oben; $F$ nach unten; $A_x$ nach rechts,Kräfte korrekt am Balken eingezeichnet,,Falsch,"{""baustoffe"": 2}",1,1,,"65,220,65",Lager_1,Lager_1,Lager.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_1/Freischnitt falsch1.png""}"
293581,Variabelkarte,L-TopImg,Freischnitt des Balkens,Freischnitt mit $A_y$ nach oben; $B$ nach oben; $F$ nach unten; $A_x$ nach rechts,Kräfte korrekt am Balken eingezeichnet,,Falsch,"{""baustoffe"": 2}",1,1,,"65,220,65",Lager_1,Lager_1,Lager.pdf,"{""type"": ""image"", ""path"": ""Inseln/Lager/Aufgabe_1/Freischnitt_falsch2.png""}"
716423,Rechenschrittkarte,L-TopImg,Gleichgewicht,,Kein horizontaler Kraftanteil vorhanden,,Wahr,"{""baustoffe"": 2}",1,1,$A_x = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_x = 0""}"
548937,Rechenschrittkarte,L-TopImg,Gleichgewicht,,Kein horizontaler Kraftanteil vorhanden,,Falsch,"{""baustoffe"": 2}",1,1,$A_x = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_x + B = 0""}"
962015,Rechenschrittkarte,L-TopImg,Gleichgewicht,,Kein horizontaler Kraftanteil vorhanden,,Falsch,"{""baustoffe"": 2}",1,1,$A_x = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_x - F = 0""}"
473826,Rechenschrittkarte,L-TopImg,Gleichgewicht,,Kräftegleichgewicht in vertikaler Richtung,,Wahr,"{""baustoffe"": 1}",1,1,$A_y + B - F = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_y + B - F = 0""}"
835170,Rechenschrittkarte,L-TopImg,Gleichgewicht,,Kräftegleichgewicht in vertikaler Richtung,,Falsch,"{""baustoffe"": 1}",1,1,$A_y + B - F = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_y - F - B = 0""}"
194653,Rechenschrittkarte,L-TopImg,Gleichgewicht,,Kräftegleichgewicht in vertikaler Richtung,,Falsch,"{""baustoffe"": 1}",1,1,$A_y + B - F = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_y - B + F = 0""}"
620489,Rechenschrittkarte,L-TopImg,Momentengleichgewicht,,Moment der Last $F$ um $A$ minus Moment von $B$ um $A$,,Wahr,"{""baustoffe"": 1}",1,1,$-F \cdot 3a + B \cdot 4a = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""-F \\cdot 3a + B \\cdot 4a = 0""}"
357841,Rechenschrittkarte,L-TopImg,Momentengleichgewicht,,Moment der Last $F$ um $A$ minus Moment von $B$ um $A$,,Falsch,"{""baustoffe"": 1}",1,1,$-F \cdot 3a + B \cdot 4a = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""F \\cdot 3a + B \\cdot 4a = 0""}"
784302,Rechenschrittkarte,L-TopImg,Momentengleichgewicht,,Moment der Last $F$ um $A$ minus Moment von $B$ um $A$,,Falsch,"{""baustoffe"": 1}",1,1,$-F \cdot 3a + B \cdot 4a = 0$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""F \\cdot 4a + B \\cdot 3a = 0""}"
519067,Rechenschrittkarte,L-TopImg,Auflösung,,Aus Momentengleichgewicht direkt nach $B$ aufgelöst,,Wahr,"{""baustoffe"": 1}",1,1,$B = \frac{3}{4}F$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""B = \\frac{F \\cdot 3a}{4a} = \\frac{3}{4}F""}"
246938,Rechenschrittkarte,L-TopImg,Auflösung,,Aus Momentengleichgewicht direkt nach $B$ aufgelöst,,Falsch,"{""baustoffe"": 1}",1,1,$B = \frac{3}{4}F$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""B = \\frac{F \\cdot 4a}{3a} = \\frac{4}{3}F""}"
873514,Rechenschrittkarte,L-TopImg,Auflösung,,Aus Momentengleichgewicht direkt nach $B$ aufgelöst,,Falsch,"{""baustoffe"": 1}",1,1,$B = \frac{3}{4}F$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""B = \\frac{F}{4a}""}"
435729,Rechenschrittkarte,L-TopImg,Auflösung,,Aus Kräftegleichgewicht vertikal nach $A_y$ aufgelöst,,Wahr,"{""baustoffe"": 1}",1,1,$A_y = \frac{1}{4}F$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_y = F - B = F - \\frac{3}{4}F = \\frac{1}{4}F""}"
961083,Rechenschrittkarte,L-TopImg,Auflösung,,Aus Kräftegleichgewicht vertikal nach $A_y$ aufgelöst,,Falsch,"{""baustoffe"": 1}",1,1,$A_y = \frac{1}{4}F$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_y = F + B = F + \\frac{3}{4}F = \\frac{7}{4}F""}"
572416,Rechenschrittkarte,L-TopImg,Auflösung,,Aus Kräftegleichgewicht vertikal nach $A_y$ aufgelöst,,Falsch,"{""baustoffe"": 1}",1,1,$A_y = \frac{1}{4}F$,"60,210,60",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_y = B - F = \\frac{3}{4}F - F = -\\frac{1}{4}F""}"
318647,Ergebniskarte,L-TopImg,Auflagerkräfte – Ergebnis,,Gleichgewicht: $\Sigma A_x = \Sigma A_y = \Sigma M_A = 0$,Probe: $A_y + B = F/4 + 3F/4 = F$ ✓,Wahr,{},1,1,$A_x = 0$; $A_y = F/4$; $B = 3F/4$,"75,235,75",Lager_1,Lager_1,Lager.pdf,"{""type"": ""formula"", ""latex"": ""A_x = 0,\\quad A_y = \\frac{F}{4},\\quad B = \\frac{3F}{4}""}"
