KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
472918,Problemkarte,L-TopImg,Gleichgewicht – Kräftegleichgewicht,Bestimme die Seilkraft $S$ und die Normalkraft $N$ für einen Körper der Gewichtskraft $G$ auf einer schiefen Ebene mit Neigungswinkel $\alpha$ und Seilwinkel $\beta$.,Gegeben: $G$ (Gewichtskraft); $\alpha$ (Neigungswinkel der Ebene); $\beta$ (Seilwinkel zur Horizontalen),Gesucht: $S$ (Seilkraft); $N$ (Normalkraft),Wahr,{},1,1,,"177,230,70",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_1/Problemkarte.png""}"
835641,Variabelkarte,L-TopImg,Freischnitt Gleichgewicht,Freischnitt des Systems mit eingezeichneten Kräften $S$; $N$ und $G$,Kräfte korrekt am Körper eingezeichnet,,Wahr,{},1,1,,"168,220,65",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_1/Freischnittkarte.png""}"
194827,Variabelkarte,L-TopImg,Freischnitt Gleichgewicht,Freischnitt des Systems mit eingezeichneten Kräften $S$; $N$ und $G$,Kräfte korrekt am Körper eingezeichnet,,Falsch,{},1,1,,"168,220,65",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_1/Freischnittkarte.png""}"
753429,Variabelkarte,L-TopImg,Kräftedreieck,Das Kräftedreieck zeigt die geometrische Beziehung zwischen $S$; $N$ und $G$,Graphische Lösung des Kräftegleichgewichts,,Wahr,{},1,1,,"168,220,65",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_1/Kräftedreieck.png""}"
382156,Rechenschrittkarte,L-TopImg,Koordinatensystem wählen,$x$-Achse parallel zur schiefen Ebene; $y$-Achse senkrecht dazu,Zweckmäßige Wahl eliminiert $N$ aus der $x$-Gleichung,,Wahr,"{""baustoffe"": 2}",1,1,Koordinatensystem,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""x \\parallel \\text{Ebene},\\; y \\perp \\text{Ebene}""}"
940583,Rechenschrittkarte,L-TopImg,Koordinatensystem wählen,$x$-Achse parallel zur schiefen Ebene; $y$-Achse senkrecht dazu,Zweckmäßige Wahl eliminiert $N$ aus der $x$-Gleichung,,Falsch,"{""baustoffe"": 2}",1,1,Koordinatensystem,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""x \\text{ horizontal},\\; y \\text{ vertikal}""}"
621094,Rechenschrittkarte,L-TopImg,Koordinatensystem wählen,$x$-Achse parallel zur schiefen Ebene; $y$-Achse senkrecht dazu,Zweckmäßige Wahl eliminiert $N$ aus der $x$-Gleichung,,Falsch,"{""baustoffe"": 2}",1,1,Koordinatensystem,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""x \\parallel S""}"
573821,Rechenschrittkarte,L-TopImg,Koordinatensystem wählen,$x$-Achse parallel zur schiefen Ebene; $y$-Achse senkrecht dazu,Zweckmäßige Wahl eliminiert $N$ aus der $x$-Gleichung,,Falsch,"{""baustoffe"": 2}",0,1,Koordinatensystem,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""\\text{Koordinatensystem beliebig}""}"
864205,Rechenschrittkarte,L-TopImg,Zerlegung der Gewichtskraft,Komponenten parallel und senkrecht zur Ebene,,,Wahr,"{""baustoffe"": 2}",1,1,G-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""G_x = G\\sin\\alpha,\\; G_y = G\\cos\\alpha""}"
417836,Rechenschrittkarte,L-TopImg,Zerlegung der Gewichtskraft,Komponenten parallel und senkrecht zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,G-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""G_x = G\\cos\\alpha,\\; G_y = G\\sin\\alpha""}"
952647,Rechenschrittkarte,L-TopImg,Zerlegung der Gewichtskraft,Komponenten parallel und senkrecht zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,G-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""G_x = G\\tan\\alpha,\\; G_y = G""}"
385902,Rechenschrittkarte,L-TopImg,Zerlegung der Gewichtskraft,Komponenten parallel und senkrecht zur Ebene,,,Falsch,"{""baustoffe"": 2}",0,1,G-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""G_x = G,\\; G_y = 0""}"
109473,Rechenschrittkarte,L-TopImg,Zerlegung der Seilkraft,Winkel zwischen Seil und $x$-Achse ist $(\alpha-\beta)$,,,Wahr,"{""baustoffe"": 2}",1,1,S-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S_x = S\\cos(\\alpha-\\beta),\\; S_y = S\\sin(\\alpha-\\beta)""}"
724561,Rechenschrittkarte,L-TopImg,Zerlegung der Seilkraft,Winkel zwischen Seil und $x$-Achse ist $(\alpha-\beta)$,,,Falsch,"{""baustoffe"": 2}",1,1,S-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S_x = S\\cos\\beta,\\; S_y = S\\sin\\beta""}"
638940,Rechenschrittkarte,L-TopImg,Zerlegung der Seilkraft,Winkel zwischen Seil und $x$-Achse ist $(\alpha-\beta)$,,,Falsch,"{""baustoffe"": 2}",1,1,S-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S_x = S\\sin\\alpha,\\; S_y = S\\cos\\alpha""}"
251784,Rechenschrittkarte,L-TopImg,Zerlegung der Seilkraft,Winkel zwischen Seil und $x$-Achse ist $(\alpha-\beta)$,,,Falsch,"{""baustoffe"": 2}",0,1,S-Komponenten,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S_x = S\\cos\\alpha,\\; S_y = S\\sin\\beta""}"
493056,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht parallel zur Ebene,,,Wahr,"{""baustoffe"": 2}",1,1,$\Sigma F_x = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S\\cos(\\alpha-\\beta) - G\\sin\\alpha = 0""}"
867324,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht parallel zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,$\Sigma F_x = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S\\cos\\beta - G\\sin\\alpha = 0""}"
745902,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht parallel zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,$\Sigma F_x = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S - G\\sin\\alpha = 0""}"
583741,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht parallel zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,$\Sigma F_x = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N - G\\cos\\alpha = 0""}"
926315,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht senkrecht zur Ebene,,,Wahr,"{""baustoffe"": 2}",1,1,$\Sigma F_y = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N + S\\sin(\\alpha-\\beta) - G\\cos\\alpha = 0""}"
184720,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht senkrecht zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,$\Sigma F_y = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N - G\\cos\\alpha = 0""}"
357491,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht senkrecht zur Ebene,,,Falsch,"{""baustoffe"": 2}",0,1,$\Sigma F_y = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N + S\\cos(\\alpha-\\beta) - G = 0""}"
602847,Rechenschrittkarte,L-TopImg,Gleichgewicht,Kräftegleichgewicht senkrecht zur Ebene,,,Falsch,"{""baustoffe"": 2}",0,1,$\Sigma F_y = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S\\sin\\beta - G\\cos\\alpha = 0""}"
438956,Rechenschrittkarte,L-TopImg,Ergebnis Seilkraft,Aus $\Sigma F_x = 0$ nach $S$ aufgelöst,,,Wahr,"{""baustoffe"": 2}",1,1,$S = G\frac{\sin\alpha}{\cos(\alpha-\beta)}$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S = G\\frac{\\sin\\alpha}{\\cos(\\alpha-\\beta)}""}"
791245,Rechenschrittkarte,L-TopImg,Ergebnis Seilkraft,Aus $\Sigma F_x = 0$ nach $S$ aufgelöst,,,Falsch,"{""baustoffe"": 2}",1,1,$S = G\sin\alpha$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S = G\\sin\\alpha""}"
285603,Rechenschrittkarte,L-TopImg,Ergebnis Seilkraft,Aus $\Sigma F_x = 0$ nach $S$ aufgelöst,,,Falsch,"{""baustoffe"": 2}",1,1,$S = G\frac{\cos\alpha}{\sin(\alpha-\beta)}$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S = G\\frac{\\cos\\alpha}{\\sin(\\alpha-\\beta)}""}"
914782,Rechenschrittkarte,L-TopImg,Ergebnis Seilkraft,Aus $\Sigma F_x = 0$ nach $S$ aufgelöst,,,Falsch,"{""baustoffe"": 2}",0,1,$S = G\frac{\sin\alpha}{\cos\beta}$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S = G\\frac{\\sin\\alpha}{\\cos\\beta}""}"
536094,Rechenschrittkarte,L-TopImg,Ergebnis Normalkraft,Aus $\Sigma F_y = 0$ und Additionstheorem,,,Wahr,"{""baustoffe"": 2}",1,1,$N = G\frac{\cos\beta}{\cos(\alpha-\beta)}$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N = G\\frac{\\cos\\beta}{\\cos(\\alpha-\\beta)}""}"
347168,Rechenschrittkarte,L-TopImg,Ergebnis Normalkraft,Aus $\Sigma F_y = 0$ und Additionstheorem,,,Falsch,"{""baustoffe"": 2}",1,1,$N = G\cos\alpha$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N = G\\cos\\alpha""}"
682503,Rechenschrittkarte,L-TopImg,Ergebnis Normalkraft,Aus $\Sigma F_y = 0$ und Additionstheorem,,,Falsch,"{""baustoffe"": 2}",1,1,$N = G\frac{\sin\beta}{\cos(\alpha-\beta)}$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N = G\\frac{\\sin\\beta}{\\cos(\\alpha-\\beta)}""}"
150947,Rechenschrittkarte,L-TopImg,Ergebnis Normalkraft,Aus $\Sigma F_y = 0$ und Additionstheorem,,,Falsch,"{""baustoffe"": 2}",0,1,$N = G - S\sin\alpha$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N = G - S\\sin\\alpha""}"
873641,Rechenschrittkarte,L-TopImg,Sonderfall,Seil parallel zur Ebene,,,Wahr,"{""baustoffe"": 2}",1,1,$\alpha = \beta$: $S$ und $N$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S = G\\sin\\alpha,\\; N = G\\cos\\alpha""}"
294075,Rechenschrittkarte,L-TopImg,Sonderfall,Seil parallel zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,$\alpha = \beta$: $S$ und $N$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S = 0,\\; N = G""}"
765832,Rechenschrittkarte,L-TopImg,Sonderfall,Seil parallel zur Ebene,,,Falsch,"{""baustoffe"": 2}",1,1,$\alpha = \beta$: $S$ und $N$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""S = G,\\; N = 0""}"
481526,Rechenschrittkarte,L-TopImg,Sonderfall,Seil parallel zur Ebene,,,Falsch,"{""baustoffe"": 2}",0,1,$\alpha = \beta$: Gleichgewicht,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""\\text{Gleichgewicht unmöglich}""}"
905314,Rechenschrittkarte,L-TopImg,Typischer Fehler,Die Winkel $\alpha$ und $\beta$ werden bei der Zerlegung von $S$ verwechselt oder falsch kombiniert,Häufigster Fehler bei der Winkelzerlegung,,Wahr,"{""baustoffe"": 2}",0,1,Typischer Fehler,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""\\alpha \\text{ und } \\beta \\text{ verwechselt}""}"
216748,Rechenschrittkarte,L-TopImg,Typischer Fehler,Die Winkel $\alpha$ und $\beta$ werden bei der Zerlegung von $S$ verwechselt oder falsch kombiniert,Häufigster Fehler bei der Winkelzerlegung,,Falsch,"{""baustoffe"": 2}",0,1,Typischer Fehler,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""G \\text{ nicht zerlegt}""}"
583294,Rechenschrittkarte,L-TopImg,Typischer Fehler,Die Winkel $\alpha$ und $\beta$ werden bei der Zerlegung von $S$ verwechselt oder falsch kombiniert,Häufigster Fehler bei der Winkelzerlegung,,Falsch,"{""baustoffe"": 2}",0,1,Typischer Fehler,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""N \\text{ als Zug}""}"
967401,Rechenschrittkarte,L-TopImg,Typischer Fehler,Die Winkel $\alpha$ und $\beta$ werden bei der Zerlegung von $S$ verwechselt oder falsch kombiniert,Häufigster Fehler bei der Winkelzerlegung,,Falsch,"{""baustoffe"": 2}",0,1,Typischer Fehler,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""\\text{Koordinatensystem vergessen}""}"
452678,Rechenschrittkarte,L-TopImg,Kontrolle des Ergebnisses,Sonderfall $\alpha = 0$ prüfen: Ebene horizontal $\Rightarrow S = 0$; $N = G$,Plausibilitätsprüfung für Grenzfall,,Wahr,"{""baustoffe"": 2}",1,1,Kontrolle: $\alpha = 0$,"160,210,60",Gleichgewicht_1,Gleichgewicht_1,Gleichgewicht.pdf,"{""type"": ""formula"", ""latex"": ""\\alpha=0: S=0,\\; N=G""}"
