KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
847391,Problemkarte,L-TopImg,Gleichgewicht – Schiff beladen,"Bestimme die maximal zulässige Lademasse $m_L$ eines Schiffes, das durch eine Auftriebskraft gehalten wird.","Gegeben: $m_s = 100\,\text{kg}$; Auftriebskraft $F_{Auf} = 3500\,\text{N}$; $g = 9{,}81\,\text{m/s}^2$",Gesucht: $m_L$ (Lademasse in kg),Wahr,{},1,1,,"123,230,70",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_2/System.png""}"
293847,Freischnittkarte,L-TopImg,Freischnitt Schiff,Freischnitt des Schiffes mit eingezeichneten Kräften,Auftriebskraft $F_{Auf}$ nach oben; Gewichtskraft $F_{Bel}$ nach unten,,Wahr,"{""baustoffe"": 3}",1,1,,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_2/freischnitt_richtig.png""}"
384756,Freischnittkarte,L-TopImg,Freischnitt Schiff,Freischnitt des Schiffes mit eingezeichneten Kräften,Auftriebskraft $F_{Auf}$ und Gewichtskraft $F_{Bel}$ beide nach oben,,Falsch,"{""baustoffe"": 3}",1,1,,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_2/freischnitt_falsch1.png""}"
475621,Freischnittkarte,L-TopImg,Freischnitt Schiff,Freischnitt des Schiffes mit eingezeichneten Kräften,Auftriebskraft $F_{Auf}$ und Gewichtskraft $F_{Bel}$ beide nach unten,,Falsch,"{""baustoffe"": 3}",1,1,,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_2/freischnitt_falsch_2.png""}"
568394,Freischnittkarte,L-TopImg,Freischnitt Schiff,Freischnitt des Schiffes mit eingezeichneten Kräften,Auftriebskraft $F_{Auf}$ von rechts; Gewichtskraft $F_{Bel}$ von links,,Falsch,"{""baustoffe"": 3}",0,1,,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""image"", ""path"": ""Inseln/Gleichgewicht/Aufgabe_2/freischnitt_falsch3.png""}"
152847,Variabelkarte,L-TopImg,Gesamtmasse,Die Gesamtmasse setzt sich aus Schiff und Ladung zusammen,Summe aus Schiffsmasse und Lademasse,,Wahr,"{""baustoffe"": 2}",1,1,$M = m_s + m_L$,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""M = m_s + m_L""}"
391826,Variabelkarte,L-TopImg,Gesamtmasse,Die Gesamtmasse setzt sich aus Schiff und Ladung zusammen,Summe aus Schiffsmasse und Lademasse,,Falsch,"{""baustoffe"": 2}",1,1,$M = m_s \cdot m_L$,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""M = m_s \\cdot m_L""}"
482910,Variabelkarte,L-TopImg,Gewichtskraft,Die Gewichtskraft der Gesamtmasse wirkt nach unten,Gewichtskraft durch Erdbeschleunigung bestimmt,,Wahr,"{""baustoffe"": 2}",1,1,$F_{Bel} = M \cdot g$,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""F_{Bel} = M \\cdot g""}"
573824,Variabelkarte,L-TopImg,Gewichtskraft,Die Gewichtskraft der Gesamtmasse wirkt nach unten,Gewichtskraft durch Erdbeschleunigung bestimmt,,Falsch,"{""baustoffe"": 2}",1,1,$F_{Bel} = M \cdot g \cdot h$,"118,225,65",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""F_{Bel} = M \\cdot g \\cdot h""}"
619047,Rechenschrittkarte,L-TopImg,Kräftegleichgewicht,Kräftegleichgewicht in vertikaler Richtung,Auftriebskraft und Gewichtskraft müssen im Gleichgewicht sein,,Wahr,"{""baustoffe"": 2}",1,1,$\Sigma F_y = F_{Auf} - F_{Bel} = 0$,"113,220,60",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""\\Sigma F_y = F_{Auf} - F_{Bel} = 0""}"
735201,Rechenschrittkarte,L-TopImg,Kräftegleichgewicht,Kräftegleichgewicht in vertikaler Richtung,Auftriebskraft und Gewichtskraft müssen im Gleichgewicht sein,,Falsch,"{""baustoffe"": 2}",1,1,$\Sigma F_y = F_{Bel} - F_{Auf} = 0$,"113,220,60",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""\\Sigma F_y = F_{Bel} - F_{Auf} = 0""}"
846293,Rechenschrittkarte,L-TopImg,Gleichgewicht einsetzen,Einsetzen der Gewichtskraft in die Gleichgewichtsbedingung,Gesamtmasse und Auftriebskraft in die Gleichung einsetzen,,Wahr,"{""baustoffe"": 3}",1,1,"$3500 - (100 + m_L) \cdot 9{,}81 = 0$","113,220,60",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""3500 - (100 + m_L) \\cdot 9{,}81 = 0""}"
957184,Rechenschrittkarte,L-TopImg,Gleichgewicht einsetzen,Einsetzen der Gewichtskraft in die Gleichgewichtsbedingung,Gesamtmasse und Auftriebskraft in die Gleichung einsetzen,,Falsch,"{""baustoffe"": 3}",1,1,"$(m_L - 100) \cdot 9{,}81 - 3500 = 0$","113,220,60",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""(m_L - 100) \\cdot 9{,}81 - 3500 = 0""}"
138472,Rechenschrittkarte,L-TopImg,Nach Lademasse auflösen,Gleichung nach der Lademasse $m_L$ auflösen,Umstellen nach der gesuchten Lademasse,,Wahr,"{""baustoffe"": 3}",1,1,"$m_L = \frac{3500}{9{,}81} - 100$","113,220,60",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""m_L = \\frac{3500}{9{,}81} - 100""}"
249563,Rechenschrittkarte,L-TopImg,Nach Lademasse auflösen,Gleichung nach der Lademasse $m_L$ auflösen,Umstellen nach der gesuchten Lademasse,,Falsch,"{""baustoffe"": 3}",1,1,"$m_L = \frac{100}{9{,}81} + 3500$","113,220,60",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""m_L = \\frac{100}{9{,}81} + 3500""}"
360754,Ergebniskarte,L-TopImg,Maximale Lademasse,Maximale Lademasse des Schiffes,Ergebnis für die gesuchte Lademasse,"Probe: $(100 + 256{,}7) \cdot 9{,}81 \approx 3500\,\text{N}$ ✓",Wahr,{},1,1,"$m_L \approx 256{,}7\,\text{kg}$","128,235,75",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""m_L \\approx 256{,}7\\,\\text{kg}""}"
471865,Ergebniskarte,L-TopImg,Maximale Lademasse,Maximale Lademasse des Schiffes,Ergebnis für die gesuchte Lademasse,"Probe: $(100 + 3510{,}1) \cdot 9{,}81 \approx 35\,420\,\text{N}$",Falsch,{},1,1,"$m_L \approx 3510{,}1\,\text{kg}$","128,235,75",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""formula"", ""latex"": ""m_L \\approx 3510{,}1\\,\\text{kg}""}"
582976,Lösungskarte,L-TopImg,Lösungsweg Schiff,"Richtige Karten: 293847, 152847, 482910, 619047, 846293, 138472, 360754",Lösungsweg: Freischnitt → Gesamtmasse → Gewichtskraft → Gleichgewicht → Einsetzen → Auflösen → Ergebnis,,Wahr,{},0,1,,"123,230,70",Gleichgewicht_2,Gleichgewicht_2,Gleichgewicht2.pdf,"{""type"": ""none""}"
