KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
384729,Problemkarte,L-TopImg,Fachwerk mit Mittellast,Bestimme die Stabkräfte $S_3$; $S_7$ und $S_8$ des dargestellten Fachwerks mit Einzellast $F$ in Feldmitte.,Gegeben: $F$; $l$; Auflager $A$ (Gelenk) und $B$ (Rolle),Gesucht: $S_3$; $S_7$; $S_8$,Wahr,{},1,1,,"230,230,70",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_2/Problem.png""}"
629047,Lagerreaktionskarte,L-TopImg,Auflagerkräfte Fachwerk,,Gleichgewicht des gesamten Systems,Momentengleichgewicht um $A$ und $B$,Wahr,"{""baustoffe"": 2}",1,1,"Av=2/3·F, Bv=1/3·F","220,220,65",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_2/Auflager_wahr.png""}"
483261,Lagerreaktionskarte,L-TopImg,Auflagerkräfte Fachwerk,,Gleichgewicht des gesamten Systems,Momentengleichgewicht um $A$ und $B$,Falsch,"{""baustoffe"": 2}",1,1,"Av=1/3·F, Bv=2/3·F","220,220,65",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_2/Auflager_falsch1.png""}"
751834,Lagerreaktionskarte,L-TopImg,Auflagerkräfte Fachwerk,,Gleichgewicht des gesamten Systems,Momentengleichgewicht um $A$ und $B$,Falsch,"{""baustoffe"": 2}",1,1,"Bh=F, Av=F/2, Bv=F/2","220,220,65",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_2/Auflager_falsch2.png""}"
571036,Freischnittkarte,L-TopImg,Freischnitt Fachwerk,Freischnitt mit Stabrichtung und Auflagerreaktionen,Kräftegleichgewicht am freigeschnittenen Teil,$B_h = 0$; $A_v = \frac{2}{3}F$; $B_v = \frac{1}{3}F$,Wahr,"{""baustoffe"": 3}",1,1,,"215,215,62",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_2/Freischnitt_Wahr.png""}"
812453,Freischnittkarte,L-TopImg,Freischnitt Fachwerk,Freischnitt mit Auflagerreaktionen $A_v$ und $B_v$,Kräftegleichgewicht am freigeschnittenen Teil,,Falsch,"{""baustoffe"": 3}",1,1,,"215,215,62",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_2/Freischnitt_Falsch.png""}"
937261,Freischnittkarte,L-TopImg,Freischnitt Fachwerk,Freischnitt mit Stabrichtungen,Kräftegleichgewicht am freigeschnittenen Teil,,Falsch,"{""baustoffe"": 3}",1,1,,"215,215,62",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""image"", ""path"": ""Inseln/Fachwerke/Aufgabe_2/Freischnitt_2_Falsch.png""}"
463810,Variabelkarte,L-TopImg,Nullstäbe Identifikation,,Knoten mit zwei kollinearen Stäben und unbelastetem dritten Stab,,Wahr,"{""baustoffe"": 2}",1,1,"S4=0, S5=0, S9=0","210,210,60",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_4=0,\\;S_5=0,\\;S_9=0""}"
729045,Variabelkarte,L-TopImg,Nullstäbe Identifikation,,Knoten mit unbelastetem Stab senkrecht zum anderen,,Wahr,"{""baustoffe"": 2}",1,1,"S10=0, S13=0","210,210,60",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_{10}=0,\\;S_{13}=0""}"
285634,Variabelkarte,L-TopImg,Nullstäbe Identifikation,,Knoten mit zwei kollinearen Stäben und unbelastetem dritten Stab,,Falsch,"{""baustoffe"": 2}",1,1,"S2=0, S1=0, S6=0","210,210,60",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_2=0,\\;S_1=0,\\;S_6=0""}"
614872,Variabelkarte,L-TopImg,Nullstäbe Identifikation,,Knoten mit zwei kollinearen Stäben und unbelastetem dritten Stab,,Falsch,"{""baustoffe"": 2}",1,1,"S7=0, S11=0","210,210,60",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_7=0,\\;S_{11}=0""}"
158390,Variabelkarte,L-TopImg,Nullstäbe Identifikation,,Knoten mit zwei kollinearen Stäben und unbelastetem dritten Stab,,Falsch,"{""baustoffe"": 2}",1,1,"S6=0, S10=0, S2=0","210,210,60",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_6=0,\\;S_{10}=0,\\;S_2=0""}"
736204,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 1,,Gleichgewicht in $z$-Richtung am Schnitt,,Wahr,"{""baustoffe"": 1}",1,1,S1+Av=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_1+A_v=0""}"
304821,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 1,,Gleichgewicht in $z$-Richtung am Schnitt,,Falsch,"{""baustoffe"": 1}",1,1,S1-Av=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_1-A_v=0""}"
519673,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 1,,Gleichgewicht in $z$-Richtung am Schnitt,,Falsch,"{""baustoffe"": 1}",1,1,S1-Bv=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_1-B_v=0""}"
847392,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 2,,Gleichgewicht in $x$-Richtung am Schnitt,,Wahr,"{""baustoffe"": 2}",1,1,S1+S3 sin a=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_1+S_3\\sin\\alpha=0""}"
263084,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 2,,Gleichgewicht in $x$-Richtung am Schnitt,,Falsch,"{""baustoffe"": 2}",1,1,S3+S1 sin a=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_3+S_1\\sin\\alpha=0""}"
718536,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 2,,Gleichgewicht in $x$-Richtung am Schnitt,,Falsch,"{""baustoffe"": 2}",1,1,S2+S1 cos a=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_2+S_1\\cos\\alpha=0""}"
493817,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 3,,Gleichgewicht am Mittelknoten,,Wahr,"{""baustoffe"": 2}",1,1,S7 sin a+S3 sin a=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_7\\sin\\alpha+S_3\\sin\\alpha=0""}"
625170,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 3,,Gleichgewicht am Mittelknoten,,Falsch,"{""baustoffe"": 2}",1,1,S7 cos a+S3 cos a=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_7\\cos\\alpha+S_3\\cos\\alpha=0""}"
382946,Rechenschrittkarte,L-TopImg,Gleichgewicht Gleichung 3,,Gleichgewicht am Mittelknoten,,Falsch,"{""baustoffe"": 2}",1,1,S8 sin a+S3 sin a=0,"205,205,58",Fachwerk_2,2.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""S_8\\sin\\alpha+S_3\\sin\\alpha=0""}"
