KartenID,Kartentyp,Layout,Title,content1,content2,content3,Wahrheitswert,Resourcen,print,Anzahl,Formeln,Hintergrundfarbe,ProblemID,Aufgabennummer,Quelle,pic_dict
847253,Problemkarte,L-TopImg,Biegelinie Tragarm,Bestimme $w(x)$ und die maximale Durchbiegung $w(L)$ eines Tragarms der Länge $L$ mit Einzellast $F$ am freien Ende.,"Gegeben: $EI = \text{const.}$, Länge $L$, Kraft $F$ am freien Ende","Gesucht: $w(x)$, $w(L)$",Wahr,{},1,1,,"230,70,70",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""matplotlib"", ""code"": ""ax.fill_between([-0.18,0],[-0.4,-0.4],[0.4,0.4],color='lightgray');[ax.plot([-0.18,0],[-0.4+i*0.1,-0.3+i*0.1],'k-',lw=1) for i in range(8)];ax.plot([0,4],[0,0],'k-',lw=5);ax.annotate('',xy=(4,0.02),xytext=(4,0.8),arrowprops=dict(arrowstyle='-|>',color='red',lw=3,mutation_scale=25));ax.text(4.1,0.45,'F',color='red',fontsize=14);ax.annotate('',xy=(4,-0.65),xytext=(0,-0.65),arrowprops=dict(arrowstyle='<->',color='black',lw=2));ax.plot([0,0],[-0.75,-0.55],'k-',lw=2);ax.plot([4,4],[-0.75,-0.55],'k-',lw=2);ax.text(2,-0.9,'L',fontsize=14,ha='center');ax.annotate('',xy=(0.2,-1.1),xytext=(-0.5,-1.1),arrowprops=dict(arrowstyle='-|>',color='black',lw=2));ax.annotate('',xy=(-0.5,-0.4),xytext=(-0.5,-1.1),arrowprops=dict(arrowstyle='-|>',color='black',lw=2));ax.text(0.25,-1.15,'x',fontsize=14);ax.text(-0.6,-0.35,'y',fontsize=14);ax.text(0.1,0.5,'A',fontsize=14,fontweight='bold');ax.set_xlim(-0.8,5.2);ax.set_ylim(-1.4,1.0);ax.axis('off')""}"
362914,Variabelkarte,L-TopImg,Biegemoment M(x) Tragarm,,Momentenverlauf am Tragarm,,Wahr,"{""baustoffe"": 5}",1,1,M(x) = -F(L-x),"215,80,80",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""M(x) = -F(L-x)""}"
591837,Variabelkarte,L-TopImg,Biegemoment M(x) Tragarm,,Momentenverlauf am Tragarm,,Falsch,"{""baustoffe"": 5}",1,1,M(x) = F(L-x),"215,80,80",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""M(x) = F(L-x)""}"
738294,Variabelkarte,L-TopImg,Biegemoment M(x) Tragarm,,Momentenverlauf am Tragarm,,Falsch,"{""baustoffe"": 5}",1,1,M(x) = F(x-L),"215,80,80",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""M(x) = F(x-L)""}"
461572,Variabelkarte,L-TopImg,Biegemoment M(x) Tragarm,,Momentenverlauf am Tragarm,,Falsch,"{""baustoffe"": 5}",0,1,M(x) = FL - Fx,"215,80,80",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""M(x) = FL - Fx""}"
728461,Formelkarte,L-TopImg,Biegelinien-DGL,Grundgleichung der Biegelinie nach Euler-Bernoulli,Zweifache Integration liefert $w(x)$,,Wahr,"{""baustoffe"": 5}",1,1,EIw''(x) = -M(x),"200,65,65",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""EI\\,w''(x) = -M(x)""}"
193047,Formelkarte,L-TopImg,Biegelinien-DGL,Grundgleichung der Biegelinie nach Euler-Bernoulli,Zweifache Integration liefert $w(x)$,,Falsch,"{""baustoffe"": 5}",1,1,EIw'''(x) = -M(x),"200,65,65",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""EI\\,w'''(x) = -M(x)""}"
524816,Formelkarte,L-TopImg,Biegelinien-DGL,Grundgleichung der Biegelinie nach Euler-Bernoulli,Zweifache Integration liefert $w(x)$,,Falsch,"{""baustoffe"": 5}",1,1,EIw''(x) = M(x),"200,65,65",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""EI\\,w''(x) = M(x)""}"
867302,Formelkarte,L-TopImg,Biegelinien-DGL,Grundgleichung der Biegelinie nach Euler-Bernoulli,Zweifache Integration liefert $w(x)$,,Falsch,"{""baustoffe"": 5}",0,1,EIw''''(x) = M(x),"200,65,65",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""EI\\,w''''(x) = M(x)""}"
483920,Rechenschrittkarte,L-TopImg,1. Integration Tragarm,,Randbedingung: $w'(0) = 0 \Rightarrow C_1 = 0$,,Wahr,"{""baustoffe"": 5}",1,1,EIw'(x) = -FLx + F/2·x²,"210,70,70",Biegelinie_1,1.1,Wissenschaftskommunikation_260610_163656.pdf,"{""type"": ""formula"", ""latex"": ""EI\\,w'(x) = -FLx + \\frac{F}{2}x^2""}"
